count_ING,mean_time_ING,var_time_ING,p95_time_ING,count_PREPA,mean_time_PREPA,var_time_PREPA,p95_time_PREPA,ing_rejected,run
1468,194.95886970796462,6964.735544412679,278.26476388577,149,187.14257411765902,7384.95870287267,282.05481346744966,0,1
1165,197.50436160700264,11657.141242901573,405.5048746323479,130,216.0362625121576,13035.988074134257,414.34545775548384,0,2
1258,194.63725290651936,9850.896571485324,361.43822625890937,138,203.24082339662755,9285.542521195324,364.24138273163203,0,3
1396,140.37692030907826,5934.687504938516,288.9396897779625,143,146.508306275706,6380.79074904988,288.6085347148694,0,4
1300,192.94053072402824,10442.795338865597,326.1112935635364,132,190.20223524596136,10901.857672220927,335.9409913409679,0,5
1186,175.37845355375748,6075.011763815147,293.8596818596427,135,182.23890689900395,6826.679467455784,337.9542071204668,0,6
1392,203.5015872073732,5940.32338166863,304.3374026915153,132,204.74851312846084,6597.189250583679,305.6891281535502,0,7
1396,157.65141847559252,7511.931928562815,307.82887564558655,141,165.55837830952262,7023.981995316959,310.2493171958216,0,8
1345,172.63675440252527,8934.854592914906,305.11309001290954,131,172.63946649015972,8767.150008517783,307.6365610734106,0,9
1326,124.23686886044808,7167.995845425542,319.6460882106704,131,134.20063319530306,7584.7620072021,323.6352106195159,0,10
1462,186.33464417510947,6905.92265431813,284.16178328618514,140,187.7316620285855,7093.901117249938,290.37457997851925,0,11
1242,198.95912734441154,11607.326581571064,361.64138023736473,125,190.39172389838816,11790.768260942412,361.8537466101226,0,12
1425,143.82227200171326,9437.403586614473,291.81932101956113,133,163.8268072147892,8479.572874455549,295.9702636269942,0,13
1281,128.85136334726457,7127.626219834564,303.70496281183136,129,144.86566817669814,8143.163397314335,315.2655574364595,0,14
1330,204.49770742580202,8070.345174767314,323.25788080066525,134,201.49397454008627,8027.5667253843085,324.8032122065806,0,15
1474,115.32714198215808,4322.562080565867,250.48334017805735,132,122.02649500518062,5303.426510964822,256.98573105611956,0,16
1515,119.1084753905423,6939.665988279733,218.63662084932662,137,131.82507270005107,6274.948626802636,226.1915387069006,0,17
1300,161.5287272201099,9824.613441501284,333.71704971403267,119,182.17351195560465,9632.351792637124,343.54428097177026,0,18
1461,121.30565096043192,4810.067704697453,226.02209095243666,150,129.5139708025915,5087.161358951956,244.20164044270166,0,19
1499,152.8534448419283,6757.275459036661,269.3800184978402,138,155.3423941553709,6524.654846632185,268.54834963446604,0,20
