count_ING,mean_time_ING,var_time_ING,p95_time_ING,count_PREPA,mean_time_PREPA,var_time_PREPA,p95_time_PREPA,ing_rejected,run
1229,126.02660739808886,4097.523404102817,197.15437264648733,153,127.1787563289746,3877.854852931534,200.0587897565265,512,1
1184,123.37747016096313,2981.6102723966583,215.9062582956699,139,123.39217152011798,2903.3387013851043,220.55466893780647,474,2
1012,175.8122691331271,8779.787139135371,332.0635383390968,137,173.88550371505846,8200.536226968818,322.7389188316208,536,3
1088,127.94589330875145,10346.746905012675,284.94271858527657,138,133.22415596965735,10178.519984196986,289.5271686292016,440,4
1029,169.7926884922785,8799.997291597227,318.5976611763916,149,175.26807643034576,8103.483491830176,315.85330320531375,433,5
1047,156.14240962537912,7162.126220374061,283.4731646215379,133,161.20996349920134,7228.750892358737,282.48859591084215,428,6
1168,155.90929510122254,2079.129155512997,233.25716421026448,147,160.44894337987486,2176.80004611268,235.9489990345063,444,7
1028,116.71846129097676,9073.976668530882,274.71030288731697,127,131.3208397277637,8671.23097180773,279.9344179187925,542,8
1079,125.18458761654502,6701.795086412309,288.8961114848481,136,132.25682286970678,6709.345266188625,282.3240566330653,486,9
1046,178.94756796283278,6602.953010374587,288.0443817083524,145,181.72946094293448,6470.935686769302,289.5679016716015,465,10
1140,112.90829744925671,7200.157738233653,242.5373419869485,137,125.53634223181615,7322.55803032891,249.0786744778967,522,11
1267,102.53108590551066,2639.754032544653,158.50795442095648,155,102.12896468256538,2776.4019011964497,163.00014033513094,456,12
1223,117.79612861674586,2723.9211793736504,196.54646505405697,156,117.47983665273789,2659.996926674229,199.3420626744438,489,13
1366,37.92811399219526,743.2299321406473,80.08980716792666,138,44.605915904665956,738.7175112252448,93.9939653220274,453,14
988,158.43481881356635,6800.031624597266,259.10742061465044,136,165.44665846388122,7406.969191799169,332.1644230340195,447,15
1201,113.10153697838918,4649.620086092595,219.8766317906617,144,119.73514315659563,4778.041522007654,222.54607289398177,495,16
1096,111.32379928209855,5872.477655736973,254.7878183060143,154,127.22430853106671,5330.673112055279,260.0203406486271,451,17
1133,153.61124339059694,6835.452159550573,254.16074256301715,142,146.7540933949606,7107.9331226605655,254.856857989196,478,18
1116,126.41763296176951,5507.381332640143,241.10639672378568,153,136.51726761376494,5239.487980577576,245.9746899527604,434,19
1129,88.86164210513283,5183.71093903634,221.7468022598697,147,102.85614791435287,5642.844156158487,232.62330023487016,457,20
