count_ING,mean_time_ING,var_time_ING,p95_time_ING,count_PREPA,mean_time_PREPA,var_time_PREPA,p95_time_PREPA,ing_rejected,run
529,110.02587272768461,3716.3084174866353,222.03599545256236,164,107.47806824318162,3473.972382234973,216.88432543363012,1371,1
475,134.72989343527817,8258.270011051656,282.9021075180874,170,144.06203731664624,7930.204871740112,283.60625789436835,1331,2
574,88.41012227642358,3499.175142903464,164.36615728325182,173,95.42070232767902,3467.771344437404,166.86924335408628,1360,3
548,115.54866190429239,4930.0943408642515,196.69545858600372,158,113.31566360434769,4908.220247689502,203.90936048710398,1327,4
442,215.2826543074307,11583.385896855492,379.6269046594059,166,219.6750406234419,11970.490362669903,380.16391591270394,1338,5
506,117.545701117438,3077.3956165802965,207.22407745808903,158,119.07340441156084,3177.8513306555597,215.44327676915418,1326,6
613,24.84410705235695,423.92161303103757,59.58937201229992,168,31.821216706398918,382.8019329953906,66.31372169453823,1401,7
531,87.69864461785366,4588.9294828444445,213.93023922728946,169,100.53887479039284,4539.364143090634,216.17362602478806,1311,8
452,120.12637363769258,3264.4216186616977,196.05750172506396,167,121.53127066620866,3679.696249060161,237.54860616550047,1314,9
563,81.65850534707526,2401.6285913838256,149.63375334641762,183,85.02057512385566,2279.754031682367,153.25307834428588,1271,10
504,78.14792007241832,2003.5996992240111,165.7116667770207,169,82.0352729986064,2042.0330359503541,166.62004244493926,1304,11
586,85.3610596680266,1246.140781207172,127.27359564201265,160,89.65699576611273,1259.8108030920591,134.94258046711673,1294,12
593,48.63248674551519,1647.436016655982,124.56516053371013,171,55.709935477472115,1666.676883298146,129.3924536396488,1313,13
584,76.56447751478369,1585.8676420086513,137.4782851100623,174,85.30291121816691,1583.0214624275773,143.7807919932592,1326,14
506,69.6493101516261,3916.3867767306583,188.65818249026518,165,75.71751409679557,3785.7128650061195,190.08981647612063,1319,15
549,76.90121241570722,944.2351820633163,130.80320822702993,170,83.3007060180522,996.2313653022773,145.48129241200013,1345,16
529,48.104948786221435,1696.6856560338088,121.2130396894305,156,59.066407128745496,2191.218312227678,158.94067413891526,1323,17
571,92.21349225433579,1395.5077078387794,141.39905368790522,155,92.96832236301246,1749.4481650512596,147.79558608356706,1368,18
458,188.24785767434994,8684.484475214167,315.5211977537614,148,193.3143091689549,8136.070423288186,309.0589078506607,1380,19
490,130.1024295578589,4138.256238875185,239.75263617742826,151,139.27030784294618,3214.741071883176,250.85398595561855,1331,20
